Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Meat,302.0,birthday,371.0,Room Temperature,Regular,Summer,Buffet,Suburban,Low,27.0
Meat,300.0,Wedding,450.0,Refrigerated,Regular,Winter,Finger Food,Suburban,High,35.0
Meat,350.0,Wedding,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,40.0
Vegetables,280.0,wedding,350.0,Refrigerated,Regular,Summer,Finger Food,Urban,Low,20.0
Meat,300.0,Wedding,450.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,35.0
Fruits,320.0,Birthday,480.0,Room Temperature,Regular,Summer,Buffet,Suburban,High,40.0
Fruits,350.0,Birthday,450.0,Refrigerated,Regular,Winter,Finger Food,Suburban,High,30.0
Meat,300.0,Birthday,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20.0
Meat,350.0,Corporate,450.0,Refrigerated,Occasional,Summer,Finger Food,Suburban,High,
Baked Goods,367.0,Birthday,420.0,Room Temperature,Regular,Winter,Buffet,Suburban,Low,40.0
Meat,300.0,Wedding,400.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,25.0
Meat,300.0,Wedding,400.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Low,20.0
Fruits,280.0,Birthday,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Low,25.0
Fruits,,Corporate,480.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40.0
Baked Goods,320.0,Wedding,400.0,Room Temperature,Regular,All Seasons,Buffet,Rural,High,
Meat,250.0,Birthday,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,25.0
Vegetables,207.0,Birthday,280.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,20.0
Meat,250.0,Social Gathering,350.0,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35.0
Meat,250.0,Corporate,350.0,Room Temperature,Occasional,Winter,Finger Food,Suburban,High,35.0
Fruits,350.0,Birthday,450.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,45.0
Fruits,438.0,Wedding,493.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,35.0
Dairy Products,250.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10.0
Meat,,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,High,35.0
Baked Goods,380.0,Birthday,480.0,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30.0
Baked Goods,320.0,Wedding,400.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,25.0
Fruits,765.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50.0
Meat,453.0,Social Gathering,484.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,54.0
Baked Goods,350.0,Birthday,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,
Meat,400.0,Corporate,500.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,50.0
Dairy Products,300.0,Birthday,400.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,30.0
Dairy Products,434.0,Birthday,495.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,36.0
Fruits,280.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,25.0
Baked Goods,400.0,social gathering,450.0,Room Temperature,Regular,Summer,Buffet,Urban,Moderate,
Baked Goods,400.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25.0
Meat,350.0,Wedding,450.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Fruits,453.0,Birthday,,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,54.0
Dairy Products,453.0,Corporate,484.0,room temperature,Regular,Winter,Sit-down Dinner,Urban,High,54.0
Dairy Products,240.0,Wedding,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20.0
Dairy Products,350.0,Wedding,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
dairy products,300.0,Birthday,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25.0
Dairy Products,320.0,SOCIAL GATHERING,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Meat,367.0,Birthday,420.0,Room Temperature,Regular,Summer,Buffet,Urban,Low,40.0
Meat,220.0,Wedding,300.0,Refrigerated,Regular,Summer,Finger Food,Urban,Low,15.0
Fruits,280.0,Wedding,350.0,Refrigerated,Regular,Winter,Finger Food,Urban,Low,20.0
Fruits,491.0,Birthday,,Refrigerated,Regular,Winter,Finger Food,Urban,High,32.0
Baked Goods,434.0,Wedding,495.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,36.0
Vegetables,230.0,Corporate,500.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,30.0
Baked Goods,250.0,Birthday,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,300.0,Corporate,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25.0
Baked Goods,350.0,wedding,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45.0
Dairy Products,320.0,Wedding,400.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25.0
Dairy Products,310.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Urban,High,35.0
Baked Goods,280.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,
Dairy Products,320.0,Wedding,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Baked Goods,260.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20.0
Meat,400.0,Birthday,450.0,Refrigerated,Occasional,Winter,Buffet,Urban,Moderate,
Meat,220.0,Wedding,300.0,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,15.0
Meat,,Corporate,388.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,16.0
Meat,320.0,Corporate,400.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40.0
MEAT,400.0,Corporate,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50.0
Dairy Products,400.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40.0
Dairy Products,320.0,Birthday,400.0, Room Temperature ,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Vegetables,300.0,Social Gathering,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Baked Goods,350.0, Birthday ,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,220.0,Social Gathering,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15.0
Dairy Products,220.0,Social Gathering,300.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15.0
Baked Goods,400.0,Social Gathering,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,50.0
Baked Goods,220.0,Social Gathering,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,
Fruits,453.0,Wedding,484.0,refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,54.0
 Meat ,400.0,Corporate,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50.0
Fruits,250.0,Birthday,350.0,Refrigerated,Regular,Summer,Finger Food,Suburban,High,30.0
Vegetables,350.0,Corporate,450.0,Room Temperature,Regular,Winter,Buffet,Urban,High,40.0
Meat,300.0, Wedding ,400.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
Meat,380.0,Birthday,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Meat,250.0,Wedding,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,20.0
Vegetables,220.0,Corporate,300.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15.0
Baked Goods,488.0,Wedding,498.0,Room Temperature,Regular,Winter,Finger Food,Rural,High,63.0
Meat,400.0,Corporate,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,50.0
Baked Goods,491.0,Birthday,497.0,Room Temperature,Regular,Summer,Finger Food,Urban,High,32.0
Fruits,400.0,Wedding,500.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,40.0
Meat,261.0,Birthday,350.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,23.0
Vegetables,434.0,Wedding,495.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Low,36.0
Fruits,350.0,Wedding,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,30.0
Vegetables,350.0,Birthday,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Baked Goods,380.0,Birthday,480.0,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30.0
Fruits,400.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
Baked Goods,247.0,Wedding,348.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,16.0
Dairy Products,320.0,CORPORATE,400.0,Room Temperature,Regular,Winter,Buffet,Urban,Moderate,25.0
Meat,350.0,Social Gathering,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Baked Goods,207.0,Wedding,280.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,20.0
Baked Goods,280.0,Corporate,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Occasional,Winter,Finger Food,Urban,High,40.0
Dairy Products,220.0,wedding,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
Baked Goods,400.0,Wedding,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Baked Goods,250.0,Birthday,350.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Baked Goods,320.0,Birthday,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Vegetables,250.0,Corporate,350.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Moderate,25.0
Baked Goods,280.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20.0
Dairy Products,300.0,Corporate,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40.0
Dairy Products,230.0,Wedding,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20.0
Vegetables,350.0,Wedding,450.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,25.0
Fruits,261.0,Corporate,350.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,
Baked Goods,247.0,Corporate,348.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,16.0
Baked Goods,,Corporate,480.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,Moderate,
Baked Goods,350.0,Corporate,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Dairy Products,300.0,Birthday,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20.0
Baked Goods,380.0,Social Gathering,480.0,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30.0
 Fruits ,380.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Vegetables,300.0,Social Gathering,400.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,20.0
Dairy Products,300.0,Wedding,400.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25.0
Baked Goods,320.0,Wedding,400.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30.0
Baked Goods,280.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
Baked Goods,208.0,Corporate,282.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,22.0
Baked Goods,320.0,Wedding,,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,35.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Dairy Products,240.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30.0
Meat,250.0,Corporate,500.0,Refrigerated,Regular,Summer,Buffet,Urban,High,40.0
Meat,430.0,Corporate,477.0,Room Temperature,Regular,Winter,Buffet,Urban,Low,29.0
Fruits,350.0,Social Gathering,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Dairy Products,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Baked Goods,280.0,Social Gathering,480.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15.0
Baked Goods,350.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,765.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,25.0
Fruits,320.0,Wedding,400.0,Refrigerated,Regular,Summer,Buffet,Rural,High,35.0
Meat,300.0,Wedding,400.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15.0
Meat,380.0,Wedding,480.0,Refrigerated,Occasional,Winter,Buffet,Suburban,Moderate,30.0
Meat,300.0,Corporate,400.0,Refrigerated,Occasional,Winter,Finger Food,Suburban,Low,20.0
Meat,250.0,Wedding,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
Fruits,380.0,Corporate,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Meat,280.0,Corporate,350.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,25.0
Meat,350.0,Corporate,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45.0
Meat,320.0,Wedding,,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35.0
Meat,380.0,Corporate,480.0,Refrigerated,Regular,Winter,Buffet,Urban,Moderate,30.0
Meat,250.0,Corporate,350.0,Refrigerated,Regular,Winter,Finger Food,Urban,High,30.0
Meat,280.0,Wedding,350.0,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,20.0
Meat,429.0,Birthday,496.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,42.0
Dairy Products,320.0,Wedding,400.0,Room Temperature,Regular,Summer,Buffet,Rural,High,30.0
Meat,400.0,Wedding,500.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,50.0
Fruits,400.0, Wedding ,450.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30.0
Meat,208.0,Corporate,282.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,22.0
Fruits,320.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Buffet,Rural,High,30.0
Vegetables,350.0,Wedding,450.0,Refrigerated,Occasional,Summer,Finger Food,Suburban,Low,20.0
Vegetables,280.0,Corporate,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,25.0
Meat,350.0,Wedding,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25.0
Fruits,300.0,Wedding,450.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35.0
Fruits,275.0,Wedding,388.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,16.0
 Fruits ,220.0,Birthday,450.0,Room Temperature,Regular,Summer,Finger Food,Rural,Low,20.0
Baked Goods,400.0,Wedding,500.0,Room Temperature,Regular,Summer,Buffet,Rural,High,30.0
Vegetables,302.0,Social Gathering,371.0,Refrigerated,Regular,Winter,Buffet,Suburban,Low,27.0
Baked Goods,320.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,High,45.0
Meat,,Wedding,482.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,31.0
Vegetables,320.0,Social Gathering,400.0,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30.0
Meat,300.0,Social Gathering,400.0, Room Temperature ,Regular,Winter,Finger Food,Suburban,Low,
Dairy Products,300.0,Corporate,400.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20.0
Fruits,300.0,Wedding,400.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Low,20.0
Baked Goods,320.0,Birthday,400.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,15.0
Meat,230.0,Birthday,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,30.0
Meat,320.0,Social Gathering,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Meat,280.0,Wedding,350.0,Refrigerated,Occasional,All Seasons,Finger Food,Rural,Low,20.0
Fruits,280.0,Wedding,350.0,Refrigerated,Occasional,Summer,Finger Food,Suburban,Low,20.0
Meat,320.0,Wedding,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Meat,300.0,Birthday,400.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Fruits,280.0,Wedding,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25.0
Meat,400.0,Birthday,500.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,45.0
Meat,250.0,Social Gathering,350.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50.0
Baked Goods,342.0,Corporate,405.0,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,29.0
Vegetables,350.0,Birthday,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25.0
fruits,250.0,Wedding,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,20.0
Baked Goods,320.0,Birthday,480.0,Room Temperature,Regular,Summer,Buffet,Suburban,High,
Vegetables,320.0,Corporate,400.0,Room Temperature,Regular,Winter,Buffet,Urban,Moderate,25.0
Fruits,400.0,Birthday,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50.0
Fruits,320.0,Corporate,400.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20.0
Meat,250.0,Social Gathering,480.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20.0
Baked Goods,,Corporate,450.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20.0
Vegetables,400.0,Corporate,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,45.0
Meat,, Social Gathering ,350.0,Room Temperature,Regular,Summer,Buffet,Rural,Moderate,20.0
Vegetables,434.0,Wedding,495.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,36.0
vegetables,350.0,Birthday,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,45.0
Vegetables,400.0,Birthday,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50.0
Baked Goods,280.0,Wedding,350.0,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15.0
Fruits,250.0,Social Gathering,,Refrigerated,Regular,All Seasons,Buffet,Suburban,Moderate,20.0
Baked Goods,300.0,Wedding,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Vegetables,,Corporate,350.0,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20.0
Baked Goods,300.0,Birthday,400.0,room temperature,Regular,Winter,Finger Food,Suburban,Moderate,25.0
Vegetables,300.0,Wedding,400.0,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,25.0
Dairy Products,280.0,SOCIAL GATHERING,350.0,Room Temperature,Regular,Winter,Buffet,Urban,Low,20.0
Baked Goods,432.0,Wedding,477.0, Room Temperature ,Regular,Winter,Sit-down Dinner,Suburban,Low,23.0
Vegetables,300.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Finger Food,Rural,Low,20.0
Dairy Products,300.0,Wedding,,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,40.0
Dairy Products,320.0,Corporate,480.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40.0
Vegetables,320.0,Social Gathering,400.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35.0
DAIRY PRODUCTS,300.0,Corporate,400.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,15.0
Baked Goods,765.0,Corporate,1130.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Meat,350.0, Social Gathering ,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25.0
Baked Goods,320.0,Corporate,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25.0
Meat,220.0,Social Gathering,300.0,ROOM TEMPERATURE,Occasional,Winter,Finger Food,Rural,Moderate,15.0
Dairy Products,275.0,Wedding,388.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,16.0
Vegetables,350.0,Wedding,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,320.0,Birthday,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25.0
Fruits,380.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
Dairy Products,400.0,Birthday,500.0,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40.0
Vegetables,300.0,Social Gathering,400.0,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,
Baked Goods,,Birthday,388.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,16.0
Baked Goods,400.0,Corporate,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Meat,250.0,Social Gathering,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Baked Goods,,Wedding,495.0,Room Temperature,Occasional,Summer,Sit-down Dinner,Suburban,Low,36.0
Baked Goods,320.0,Social Gathering,400.0, Room Temperature ,Regular,All Seasons,Buffet,Rural,High,30.0
Baked Goods,400.0,Corporate,500.0,room temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25.0
Fruits,220.0,Social Gathering,300.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15.0
Baked Goods,280.0,Social Gathering,350.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,20.0
Baked Goods,300.0,Wedding,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,15.0
Baked Goods,,Corporate,300.0,Room Temperature,Occasional,Summer,Finger Food,Suburban,Moderate,15.0
Fruits,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Dairy Products,261.0,Wedding,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,23.0
Dairy Products,275.0,Social Gathering,388.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,16.0
Dairy Products,400.0,Corporate,500.0,Room Temperature,Occasional,Summer,Sit-down Dinner,Suburban,High,50.0
Vegetables,380.0,Social Gathering,,Room Temperature,Regular,All Seasons,Buffet,Suburban,Moderate,30.0
Dairy Products,280.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Baked Goods,400.0,Social Gathering,500.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,40.0
Dairy Products,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Fruits,350.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,15.0
Dairy Products,350.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,220.0,Social Gathering,300.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15.0
Baked Goods,220.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20.0
Baked Goods,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
Meat,208.0,Social Gathering,282.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,22.0
Dairy Products,250.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,34.0
DAIRY PRODUCTS,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20.0
Dairy Products,350.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45.0
Baked Goods,250.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,
Baked Goods,270.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40.0
DAIRY PRODUCTS,250.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25.0
 Dairy Products ,,Wedding,350.0,ROOM TEMPERATURE,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20.0
Dairy Products,,Social Gathering,,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,22.0
Baked Goods,350.0,Social Gathering,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35.0
 Dairy Products ,250.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20.0
Dairy Products,250.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20.0
Dairy Products,250.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Meat,302.0,Birthday,,Refrigerated,Regular,Winter,Buffet,Suburban,Low,
Meat,430.0,Wedding,477.0,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,29.0
Meat,400.0,Birthday,450.0,Refrigerated,Regular,Summer,Buffet,Urban,Moderate,30.0
Meat,220.0,Wedding,300.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,15.0
Meat,350.0,Wedding,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Meat,250.0,Wedding,350.0,Refrigerated,Regular,All Seasons,Buffet,Rural,Moderate,20.0
Meat,290.0,Corporate,374.0,Refrigerated,Occasional,Winter,Finger Food,Urban,Low,27.0
Meat,220.0,Birthday,450.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20.0
Meat,300.0,Corporate,400.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20.0
Meat,240.0,Corporate,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20.0
Meat,442.0,Corporate,482.0, Refrigerated ,Regular,Summer,Sit-down Dinner,Urban,Low,32.0
